Content ,Kelas
PESAN RESMI Undian isi Ulang M-Kios No.anda M-dpt HADIAH Cek Rp 75jt PIN anda (9K747N2) Silahkan verifikasi PIN anda klik: www.undianhut20thnmkios.blogspot.com,SPAM
"PESAN RESMI dri PT.M-KIOS Selamat No Anda M-dpat Hadiah Cek tunai Rp, 100juta Dari PT.M-KIOS Pin MK3D187 U/info Cek Di Situs Resmi Kami Di www.pulsamkios.tk",SPAM
Maaf kmi sdh menghubungi tpi tdk trsambung nomor anda berhasil meraih hadiah ke-2 dari PT.M-KIOS pin:M248K81 cek pin anda di: www.central-mkios2014.blogspot.com,SPAM
Uangnya di kirim aja ke Rekening ini BANK BNI a/n BELLA RENIYANTI No.Rekening 0375-884-403 sms aja kalau sudah dikirim,SPAM
INFO RESMI TELKOMSEL hsil pngundian HUT TELKOMSEL ke-20 No.Anda mendapat hadiah PIN:(3457CN82) U/info:085206556999 Atau/klik:www.gebyar-telkomsel20.webbly.com,SPAM
"Plg yth, No.anda m,dpt CEK Rp.57jt & (No.PIN B49C75) dri POIN M-KIOS u/info Ketik:NM#ALMT#NO.PIN sms ke 082377746477 / KLIK: www.pestapoinmkios.blogspot.com",SPAM
Surat keputusan PT.M-KIOS NO.XV/03/2015 menyatakan No anda pemenang ke-4 dr undian isi ulang M-KIOS PIN: HDR7JN7 Untuk info Link: www.pemenangptmkios.info,SPAM
"Pelanggan yth, SIMCARD anda adalah pemenang ke-II ""Pesta isi ulang M-KIOS 2015"" dgn PIN:M291KB1 lakukan verifikasi sekarang juga hanya di www.centermkios.co.vu",SPAM
kpd yth;bpk/ibu.kmi dri PT.MKIOS menyatakan bahwa No anda rsmi sbagai pmenang ke.4.dngan PIN.HDR7JN7 U.info klik di.www.kejutanhadiahptmkios.blogspot.com,SPAM
"Surat Keputusan Resmi PT.MKIOS Selamat,Anda trpilih sebagai Pemenang ke-4 No.PIN pemenang Anda(ijh76k79).Info klik: www.hasilundian-ptmkios.blogspot.com",SPAM
Maaf kami sudah menghubungi anda tapi tidak tersambung nomor anda meraih hadiah ke-2 dari PT.M-Kios pin:M248K81 cek pin anda di: www.gemerlapmkios2015.co.vu,SPAM
Maaf kami sudah Menghubungi tapi tdk tersambung No.anda Resmi meraih hadiah ke-2 dri PT.MKIOS PIN;M248K81 cek pin anda di www.pestaisiulang-mkios77.blogspot.com,SPAM
"Ass..maaf ini saya yang kemarin, mengenai harganya saya sudah SETUJU. Jadi DP/tanda jadinya harus brapa dulu. mohon hub : 085377792049 trmksh",SPAM
"maaf ini sy, dng IBU LENI yg berminat. mengenai lokasinya dan itu harganya berapa..? mohon hub H.RAMDAN 082310921678 suami sy untk negosasi harga tmksh.",SPAM
Yank Tolong isiin pulsa di no ini.085325556742 ini no baruq.skrng penting.,SPAM
Maaf kami sudah menghubungi anda tapi tidak tersambung no.anda meraih hadiah ke.2dr PT.MKIOS pin M248K81 CEK PIN ANDA DI www.mitra-mkios27.blogspot.com,SPAM
maaf kami sudah menghubungi tapi tidak tersambung No Anda meraih hadiah ke-2 dri PT.M-KIOS PIN:m248K81 cek pin anda di WWW.ptmkios34.blogspot.com,SPAM
"Ini nomor rekeningnya bank BNI;0352 8914 94 a/n ROSIDA sms saja kalau sudah dikirim,terimahkasih",SPAM
